Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Price_hashed,Price_Encrypted,RAM_Size_Encrypted
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,e33562234b73b4ecad16901885fd503f2c4c20996e22d914da21be26f8b6a6d9,gAAAAABn7QoAUUMH3Ih1k426_AFULb07Hq4uZoQG7XPJinZNfyCDtz1RLjBygCDiIySfSirEGEI7Nra6EKGsGWqLArswLreT-clek-D8kZ8xMay5CZM_z7w=,gAAAAABn7QoABgKQQbEZW5__j7mY4_JIqZIgjbUyh0S5K2EimF3jHPTcg4XE3ByKoVHiDoCKt450JpRdOMoDpF-r2reHBPFwdw==
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,80fe437d4a9c57c4038198b7cf32f93b9f957bb705b8e10a7d481662d5c79829,gAAAAABn7QoA9TM3D_WGYnZ7heYkXh-h_S2Dh9aO2SNUyvuI2flFiy2vf0Pw_h0xlFAgNNIcHxjWICbhZT1EDP8x08Owzh5uFFb4CQU5wTZyIaxf4tjNv1c=,gAAAAABn7QoAwqoRXWHpeHNGMXbiu6D6eh0UMBAAJbO8jI2_u0I6R_kjOVBWO43vEWbO4f5_jgA3bSMKFG7njUwBTUbVSuTDmA==
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,6254a5a18d60d796eb464283ef38f9417e12885a07742e2e9b9d09e24b6f772b,gAAAAABn7QoAurfecYVu6VwJRJzVnxsWR1TbFOq-rEClSIZgreD0e1-lb4Hr0u2rwEkIkB2a43QykyXififC29heec60JC6lM8pewCA6Cc9G_vVSCOE8lto=,gAAAAABn7QoAb-tnmxvitnb_-NNwlsfrsV2nSJojDGBrhG1fimurbizAwUzYo7VMvSIYsur3cdxU_fDfXFcMoNo1haPFQzyhOQ==
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527,1f2910923c33a53b30bc7e6eb731307eb2e2366b3811b68769aaeafb80458375,gAAAAABn7QoAvJYnZ91HLvvetk8gktjAwKiKZoh_1G2RONyaISUoVw-kZBS8FOpqvCfHaZ3WwAkJ02U9-YVEaGGPJt6oUzatXSZTVpZl2mSqvi-mKuSINo4=,gAAAAABn7QoAPUHHKZH8-JVQboIZIWkUdZwTsIkaQDNe2ofDGALbxTaJV0NnAfKGJoEgz5E867robmo9fMhpOln8S8bif-1ojw==
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515,f90738a55c90c1e31a4fb6d35f92306ff03a87001a9408b5a82a9083bcc18417,gAAAAABn7QoAUkFHYOdv90zKzky3s9XX1Wj-S9EwFUexRzAMtY6vywETz8G5Xb2fLmMY1pBWjt3giUemRlHrd_Jt0zlyeJTH_n03RrsDLVoqurjizI96ZlY=,gAAAAABn7QoAd47goCPUButhMAwtGQUDwUk8s8EezfDC1DdgcSVDmIgEy_YoILhZlUCf3GTmue3g5j8iYbfSCOeNRFrl27e36Q==
HP,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945,152ff98902e83cca39225afe41781193058d58e2821954fd6dc48939e53a6335,gAAAAABn7QoAdo-U8r6d4T0oFv_NWfvKfLz0L5idZH9bemyiauEDab41CWB7w2aasVSZhWr6BtqUXL6QgErXH8ipgOO0syfceO7IxsAWo07g7bUiv7crMY8=,gAAAAABn7QoALCbvyidaGXctBIWOlNFmVYVGbsemONbvPsaK99h5U4HLiDuKGNDvUnzRfE2-MqDDLrbjg1DTIdPlL7bcK4QjLA==
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554,90d3e3d05c2cf26f052a507df2d7af7733f4784154877c484f593724ba56eb56,gAAAAABn7QoA7pr6aYl5LiFcZtEEBuo2BG9CNjnuVn1R-1x5HN-1FU3pDdcTeGQ4zimHp3RSwYcxTDPZe8boofRLQxCbfYp80l6WeCV1XioWIRXpQYRyMH8=,gAAAAABn7QoA3et21kkrboTHvtEKKzLnAV6W0NK6Nmv4cWY-ZHXWwqjcIcVsmEmonLgZcmlhbY6_NaWe6OJqXFz8T9Alkeylpw==
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,981559f507d2055d3f2ff381b07fab0a3af19f070280bb2faa716381c4b55c39,gAAAAABn7QoAzZBrwe7eQFIAZ1oGu5tnqyaXhoLq4OvWSOSTnM8f63YbD8nbq7bFuSRg1Oww-8Px-0ZSjhpKN2D6pDVorEtNRdzMuwwuKrFeV4DTMyTdAck=,gAAAAABn7QoAZr8O8lBGMZSiLwrUAWYtvOTCRpeVvv4z29OV0hkWE3GQKDG86RIv_qYmW0egfZ5TXxJXcYRGu6uK9CUuobf5rw==
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409,9d1993a7420329974c5b60f45bcc22a92da4598d58acb160db849eda7abb194c,gAAAAABn7QoAiHLbD21IvSArvIKMuakuG4eBubpUFmVsbi-finmwLBuGpUZhqtk7MKugqP3Q_I3x2ZhVI4hLmxGYJahadLowDFtA60uvKzjpxOBCHYHntSk=,gAAAAABn7QoAt5zEtPq43hlG-9AnG2-tDg9zO0WpplbvEtnOQEAuK-aUkMez8Y666CWjoTx_TKPIPhuYHU-lQ0No4IA_raNVVQ==
Acer,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414,1ab75c9a76df5af1a9800bc1c2394bff5334234916f1049bd6f4ad86830d3d51,gAAAAABn7QoA1H_oBjN9yJVCQ2QzFEk2XBW1StPlRfJQkTumvZTjgRodjjzu1U3Ul6H0NjWNERrNACaU5-hWZ1kxL_tXjgUfv61K7oog-RQ5N-I_1GBTzHY=,gAAAAABn7QoAYkmE2EGhIHg-u50n3z0nozUKG14gFpgmB8KapvCaBrKVgHRvzMMPi-ULz7EiTdRqjyhQzQmBs7H8VNhmnUMmoA==
Asus,3.835917536922537,4,1000,14.295858628880625,3.0923383250314984,31967.607631536364,cc5d53247bb05bf452e7a6fb5f299dd4e7b77719007d2f200ab2fb497c02e29c,gAAAAABn7QoAFvIijQ-d1hW3vVRMFeI9VXBjpowBIRe6LztHCExIKapXs0qXVTDr9GUJTZxX1g8padaoz3_7jNaBwUuNA5Mkrdr5PVOvDamBzhqVGYPeMOQ=,gAAAAABn7QoAizR7Pk-NpkbtifKmE8lllKXSqVgOcG85UaPtPskJ5PpPJJjc2WIXRDrF3a-0I-gYs-Dr65mRo7rEul1XF5beHw==
Lenovo,3.813921282266941,32,512,12.871904121958512,3.6986450472578496,18534.108629919712,06b3c6ca37e5fef3ba7f69c3b11f896842f0e9f4bfba72137e429be10171e1d4,gAAAAABn7QoAfuWJGLmNhGzJJrE4qMHFqaobN5WwKJJ7Rvd76gFyk7NUIBRxCuBUvnrVd0PL8xS5P9HTeBmNvIbBs6NO-Qg4bEgO9NHVRsRvOTcbr2CraUg=,gAAAAABn7QoAuPvoJXX1Sc8hDlVn0LAg7SEWSdrk6iWsU47GGewT52JRf54y-pxrCrutlnwlAyG1PXv6mAum0ZkpFqjHxZpO9w==
Acer,2.6270984285103305,8,512,13.895002521412165,2.018772413079411,17495.98363758707,1c3514d02fadb490459d0621f8dbb4840dad5e1467ec32970d1c56ec0a074452,gAAAAABn7QoA-ybwxxKgEP2aFeZSUjNTlPOiCX7QTtVIvfiZiiDG3R1hz829HPEDt9M9zkDoSj6cu7Jim-P1C4vRr-lhFrpPs9vxAVWyDODmDNB0o8mCs2g=,gAAAAABn7QoAzjWRyCoYUJ8Ecausq-vqxs7iZnpknFxgGKPDUVbvv1raww2bjMi5SL_4izNnOCGXrwZRaumyflxPlNeO7upsGQ==
HP,1.783095114601888,16,256,14.040035893896476,2.1856571050414257,9731.982415267874,befd86541b00a1beea95c3c064e3b21738217b541cea9ae39e76d682df68a607,gAAAAABn7QoA1dasmT5nvuvS__MoR59anYkv-urHCx13-Obhggr4emBUax7ZIDP5vgIhxLGkDRryMAI1b5J6GjOIP4UnVIvHvMKjYbxfeev7DPkawMgg-UE=,gAAAAABn7QoAZxQhg7_Mju_IjSrVGKTsSjDTQiKL4ADI51uAKoPbqWd5OQ25kfHDzszjZtxc0ed-K15bXZrT2d2RohOyVekfEA==
Asus,3.962102997405837,8,256,13.323423627068577,3.6061038235449536,9831.389961542602,a32e8112ad4cca6a4c5b4678e9a84823ea26fe724850bb8cd552aa77253725ac,gAAAAABn7QoA2TP7vnhAnU_sH3OL1ODelhFGEK3deSe9XHd7ESFvfxxAK3xr97hnq5ZWSenF4nm37tlfFWojxRRJnROfrE64AsUSNoTRVFMrCvssTi2kueU=,gAAAAABn7QoAQdS6rfdohqcmTfrFOEou7VpskDUecFMWohvZr7F9pK7UewqmFZQc28O3SKvE6sb2WpmVeQgf0CM-W0Cy_iMEzg==
